filename,set,label
malignant (174),train,malignant
benign (47),train,benign
benign (279),train,benign
benign (165),train,benign
malignant (156),train,malignant
normal (128),train,normal
normal (76),train,normal
malignant (51),train,malignant
benign (113),train,benign
benign (252),train,benign
benign (411),train,benign
benign (403),train,benign
benign (23),train,benign
normal (4),train,normal
malignant (102),train,malignant
normal (62),train,normal
normal (119),train,normal
normal (96),train,normal
benign (44),train,benign
malignant (177),train,malignant
benign (344),train,benign
benign (320),train,benign
malignant (24),train,malignant
benign (53),train,benign
malignant (6),train,malignant
malignant (40),train,malignant
benign (225),train,benign
benign (291),train,benign
benign (94),train,benign
benign (297),train,benign
malignant (171),train,malignant
benign (139),train,benign
normal (13),train,normal
benign (375),train,benign
benign (409),train,benign
malignant (181),train,malignant
benign (92),train,benign
benign (32),train,benign
normal (115),train,normal
malignant (21),train,malignant
malignant (150),train,malignant
benign (60),train,benign
malignant (110),train,malignant
benign (294),train,benign
normal (26),train,normal
benign (26),train,benign
malignant (82),train,malignant
benign (114),train,benign
malignant (20),train,malignant
benign (318),train,benign
normal (94),train,normal
benign (167),train,benign
benign (387),train,benign
malignant (146),train,malignant
benign (54),train,benign
normal (83),train,normal
benign (265),train,benign
normal (118),train,normal
malignant (163),train,malignant
malignant (173),train,malignant
benign (193),train,benign
benign (171),train,benign
benign (77),train,benign
benign (18),train,benign
malignant (28),train,malignant
normal (23),train,normal
normal (36),train,normal
normal (95),train,normal
benign (176),train,benign
benign (67),train,benign
benign (138),train,benign
benign (11),train,benign
benign (202),train,benign
malignant (114),train,malignant
normal (91),train,normal
benign (288),train,benign
normal (101),train,normal
malignant (106),train,malignant
benign (4),train,benign
malignant (49),train,malignant
benign (282),train,benign
normal (113),train,normal
benign (362),train,benign
malignant (187),train,malignant
benign (37),train,benign
malignant (105),train,malignant
normal (126),train,normal
benign (145),train,benign
normal (109),train,normal
malignant (172),train,malignant
benign (228),train,benign
benign (177),train,benign
normal (58),train,normal
normal (37),train,normal
normal (16),train,normal
malignant (167),train,malignant
malignant (47),train,malignant
normal (60),train,normal
normal (123),train,normal
benign (195),train,benign
benign (414),train,benign
benign (333),train,benign
normal (93),train,normal
malignant (92),train,malignant
benign (244),train,benign
malignant (60),train,malignant
benign (160),train,benign
malignant (75),train,malignant
benign (401),train,benign
malignant (57),train,malignant
benign (260),train,benign
benign (220),train,benign
benign (286),train,benign
benign (235),train,benign
benign (293),train,benign
malignant (125),train,malignant
benign (433),train,benign
normal (133),train,normal
malignant (58),train,malignant
benign (199),train,benign
benign (347),train,benign
benign (348),train,benign
benign (185),train,benign
benign (271),train,benign
malignant (87),train,malignant
benign (416),train,benign
benign (137),train,benign
benign (382),train,benign
benign (373),train,benign
benign (178),train,benign
malignant (147),train,malignant
benign (104),train,benign
benign (328),train,benign
benign (128),train,benign
malignant (62),train,malignant
benign (117),train,benign
benign (437),train,benign
benign (58),train,benign
benign (241),train,benign
malignant (4),train,malignant
benign (258),train,benign
benign (430),train,benign
malignant (176),train,malignant
benign (337),train,benign
benign (309),train,benign
normal (78),train,normal
benign (361),train,benign
benign (148),train,benign
malignant (67),train,malignant
benign (310),train,benign
malignant (77),train,malignant
benign (323),train,benign
benign (302),train,benign
malignant (122),train,malignant
benign (50),train,benign
normal (132),train,normal
benign (159),train,benign
benign (223),train,benign
malignant (206),train,malignant
malignant (152),train,malignant
malignant (186),train,malignant
benign (238),train,benign
benign (394),train,benign
benign (364),train,benign
normal (79),train,normal
malignant (15),train,malignant
benign (270),train,benign
benign (16),train,benign
benign (236),train,benign
malignant (142),train,malignant
malignant (155),train,malignant
malignant (178),train,malignant
malignant (183),train,malignant
benign (8),train,benign
benign (329),train,benign
malignant (123),train,malignant
malignant (95),train,malignant
benign (269),train,benign
malignant (17),train,malignant
benign (12),train,benign
malignant (138),train,malignant
normal (71),train,normal
normal (28),train,normal
normal (103),train,normal
malignant (161),train,malignant
normal (55),train,normal
normal (77),train,normal
malignant (72),train,malignant
benign (424),train,benign
malignant (100),train,malignant
benign (214),train,benign
benign (250),train,benign
benign (345),train,benign
benign (95),train,benign
normal (121),train,normal
malignant (29),train,malignant
malignant (136),train,malignant
normal (69),train,normal
malignant (139),train,malignant
benign (218),train,benign
benign (2),train,benign
normal (120),train,normal
benign (155),train,benign
malignant (55),train,malignant
malignant (165),train,malignant
normal (40),train,normal
malignant (153),train,malignant
benign (290),train,benign
benign (103),train,benign
malignant (7),train,malignant
benign (370),train,benign
benign (263),train,benign
benign (315),train,benign
benign (31),train,benign
benign (127),train,benign
normal (117),train,normal
benign (339),train,benign
benign (404),train,benign
malignant (109),train,malignant
benign (249),train,benign
benign (84),train,benign
benign (123),train,benign
benign (283),train,benign
benign (289),train,benign
benign (392),train,benign
benign (87),train,benign
benign (222),train,benign
normal (85),train,normal
normal (51),train,normal
benign (272),train,benign
benign (363),train,benign
benign (173),train,benign
benign (34),train,benign
normal (9),train,normal
benign (150),train,benign
normal (100),train,normal
malignant (10),train,malignant
benign (91),train,benign
benign (29),train,benign
benign (268),train,benign
benign (186),train,benign
benign (38),train,benign
benign (51),train,benign
benign (158),train,benign
benign (28),train,benign
normal (14),train,normal
normal (81),train,normal
benign (398),train,benign
benign (201),train,benign
malignant (107),train,malignant
normal (46),train,normal
benign (61),train,benign
malignant (59),train,malignant
benign (319),train,benign
benign (247),train,benign
malignant (54),train,malignant
benign (330),train,benign
normal (10),train,normal
benign (42),train,benign
benign (80),train,benign
malignant (185),train,malignant
malignant (140),train,malignant
benign (136),train,benign
malignant (14),train,malignant
normal (106),train,normal
benign (237),train,benign
normal (6),train,normal
benign (340),train,benign
benign (299),train,benign
benign (129),train,benign
malignant (168),train,malignant
malignant (89),train,malignant
benign (25),train,benign
malignant (37),train,malignant
malignant (148),train,malignant
normal (25),train,normal
benign (183),train,benign
benign (285),train,benign
normal (15),train,normal
benign (197),train,benign
benign (322),train,benign
benign (118),train,benign
normal (56),train,normal
normal (8),train,normal
malignant (64),train,malignant
malignant (159),train,malignant
benign (377),train,benign
malignant (192),train,malignant
normal (30),train,normal
malignant (141),train,malignant
malignant (81),train,malignant
malignant (80),train,malignant
normal (50),train,normal
normal (86),train,normal
normal (67),train,normal
benign (395),train,benign
malignant (32),train,malignant
benign (210),train,benign
benign (426),train,benign
benign (161),train,benign
benign (287),train,benign
malignant (65),train,malignant
malignant (16),train,malignant
malignant (70),train,malignant
benign (304),train,benign
benign (313),train,benign
benign (187),train,benign
benign (219),train,benign
normal (48),train,normal
benign (146),train,benign
malignant (210),train,malignant
malignant (48),train,malignant
malignant (88),train,malignant
malignant (45),train,malignant
benign (24),train,benign
malignant (184),train,malignant
benign (227),train,benign
benign (406),train,benign
malignant (103),train,malignant
benign (174),train,benign
benign (108),train,benign
benign (402),train,benign
benign (418),train,benign
normal (111),train,normal
benign (379),train,benign
malignant (13),train,malignant
malignant (8),train,malignant
malignant (132),train,malignant
benign (69),train,benign
benign (35),train,benign
malignant (79),train,malignant
normal (11),train,normal
benign (110),train,benign
benign (292),train,benign
benign (245),train,benign
malignant (27),train,malignant
malignant (137),train,malignant
benign (239),train,benign
benign (68),train,benign
benign (74),train,benign
benign (7),train,benign
malignant (118),train,malignant
benign (106),train,benign
benign (365),train,benign
normal (12),train,normal
benign (366),train,benign
benign (399),train,benign
benign (205),train,benign
benign (98),train,benign
malignant (133),train,malignant
normal (89),train,normal
benign (169),train,benign
malignant (191),train,malignant
benign (125),train,benign
benign (255),train,benign
malignant (131),train,malignant
benign (151),train,benign
malignant (205),train,malignant
malignant (36),train,malignant
benign (278),train,benign
benign (357),train,benign
malignant (130),train,malignant
malignant (63),train,malignant
benign (351),train,benign
malignant (34),train,malignant
normal (108),train,normal
benign (191),train,benign
benign (121),train,benign
benign (393),train,benign
benign (431),train,benign
benign (242),train,benign
malignant (44),train,malignant
benign (119),train,benign
benign (332),train,benign
malignant (199),train,malignant
benign (312),train,benign
benign (267),train,benign
benign (112),train,benign
benign (22),train,benign
benign (200),train,benign
benign (81),train,benign
normal (53),train,normal
benign (353),train,benign
benign (434),train,benign
benign (215),train,benign
malignant (99),train,malignant
benign (65),train,benign
benign (85),train,benign
benign (88),train,benign
benign (216),train,benign
malignant (33),train,malignant
malignant (71),train,malignant
malignant (46),train,malignant
benign (66),train,benign
normal (59),train,normal
normal (43),train,normal
benign (10),train,benign
benign (96),train,benign
benign (326),train,benign
malignant (144),train,malignant
normal (42),train,normal
benign (374),train,benign
benign (389),train,benign
benign (206),train,benign
malignant (180),train,malignant
benign (256),train,benign
benign (380),train,benign
benign (305),train,benign
malignant (111),train,malignant
benign (99),train,benign
benign (156),train,benign
benign (64),train,benign
malignant (209),train,malignant
malignant (25),train,malignant
benign (41),train,benign
benign (243),train,benign
malignant (2),train,malignant
benign (276),train,benign
benign (120),train,benign
normal (18),train,normal
benign (257),train,benign
benign (295),train,benign
normal (125),train,normal
benign (264),train,benign
normal (107),train,normal
benign (342),train,benign
normal (2),train,normal
benign (209),train,benign
benign (162),train,benign
benign (188),train,benign
normal (32),train,normal
malignant (134),train,malignant
benign (63),train,benign
benign (97),train,benign
benign (397),train,benign
benign (261),train,benign
malignant (124),train,malignant
benign (410),train,benign
malignant (84),train,malignant
benign (230),train,benign
benign (52),train,benign
malignant (91),train,malignant
benign (9),train,benign
benign (233),train,benign
normal (21),train,normal
benign (324),train,benign
malignant (188),train,malignant
benign (212),train,benign
benign (325),train,benign
benign (386),train,benign
malignant (149),train,malignant
malignant (158),train,malignant
benign (253),train,benign
benign (157),train,benign
benign (79),train,benign
benign (141),train,benign
benign (204),train,benign
benign (343),train,benign
malignant (207),train,malignant
normal (127),train,normal
malignant (73),train,malignant
normal (1),train,normal
benign (198),train,benign
malignant (200),train,malignant
benign (408),train,benign
normal (38),train,normal
malignant (96),train,malignant
malignant (113),train,malignant
malignant (26),train,malignant
benign (86),train,benign
normal (47),train,normal
malignant (11),train,malignant
benign (109),train,benign
benign (100),train,benign
benign (307),train,benign
benign (122),train,benign
benign (405),train,benign
benign (381),train,benign
benign (46),train,benign
normal (54),train,normal
malignant (1),train,malignant
malignant (164),train,malignant
benign (102),train,benign
benign (274),train,benign
malignant (93),train,malignant
benign (254),train,benign
benign (436),train,benign
benign (383),train,benign
benign (207),train,benign
malignant (30),train,malignant
benign (273),train,benign
normal (7),train,normal
malignant (194),train,malignant
benign (163),train,benign
normal (90),train,normal
benign (152),train,benign
malignant (38),train,malignant
benign (259),train,benign
malignant (175),train,malignant
malignant (66),train,malignant
benign (372),train,benign
benign (419),train,benign
benign (57),train,benign
benign (311),train,benign
benign (390),train,benign
benign (203),train,benign
benign (140),train,benign
benign (1),train,benign
benign (298),train,benign
benign (346),train,benign
normal (34),train,normal
benign (407),train,benign
normal (45),train,normal
normal (64),train,normal
benign (175),train,benign
benign (143),train,benign
benign (132),train,benign
malignant (135),train,malignant
normal (73),train,normal
benign (369),train,benign
benign (213),train,benign
malignant (117),train,malignant
benign (39),train,benign
benign (27),train,benign
benign (192),train,benign
benign (78),train,benign
malignant (162),train,malignant
benign (17),train,benign
normal (110),train,normal
normal (29),train,normal
normal (63),train,normal
malignant (86),train,malignant
benign (13),train,benign
benign (43),train,benign
benign (350),train,benign
benign (153),train,benign
benign (427),train,benign
benign (280),train,benign
malignant (43),train,malignant
normal (122),train,normal
normal (116),train,normal
benign (40),train,benign
malignant (12),train,malignant
malignant (119),train,malignant
benign (168),train,benign
normal (5),train,normal
benign (367),train,benign
normal (35),train,normal
normal (74),train,normal
benign (20),train,benign
benign (166),train,benign
malignant (112),train,malignant
malignant (157),train,malignant
malignant (18),train,malignant
benign (354),train,benign
benign (55),train,benign
malignant (208),train,malignant
benign (208),train,benign
normal (114),train,normal
normal (102),train,normal
normal (57),train,normal
malignant (35),val,malignant
benign (133),val,benign
malignant (179),val,malignant
malignant (9),val,malignant
normal (65),val,normal
malignant (3),val,malignant
benign (211),val,benign
normal (80),val,normal
normal (61),val,normal
benign (400),val,benign
benign (417),val,benign
benign (428),val,benign
benign (83),val,benign
benign (14),val,benign
malignant (85),val,malignant
malignant (69),val,malignant
normal (52),val,normal
benign (229),val,benign
malignant (76),val,malignant
benign (371),val,benign
benign (321),val,benign
benign (70),val,benign
benign (180),val,benign
normal (124),val,normal
benign (172),val,benign
malignant (104),val,malignant
benign (314),val,benign
benign (135),val,benign
malignant (197),val,malignant
normal (82),val,normal
malignant (98),val,malignant
benign (144),val,benign
benign (105),val,benign
benign (317),val,benign
benign (15),val,benign
normal (27),val,normal
benign (154),val,benign
benign (33),val,benign
malignant (145),val,malignant
malignant (120),val,malignant
benign (93),val,benign
normal (49),val,normal
benign (217),val,benign
benign (75),val,benign
benign (3),val,benign
benign (130),val,benign
benign (6),val,benign
benign (306),val,benign
benign (251),val,benign
benign (189),val,benign
benign (355),val,benign
malignant (83),val,malignant
benign (126),val,benign
malignant (198),val,malignant
benign (62),val,benign
malignant (94),val,malignant
benign (422),val,benign
normal (39),val,normal
benign (421),val,benign
malignant (116),val,malignant
benign (385),val,benign
benign (420),val,benign
benign (224),val,benign
malignant (97),val,malignant
benign (231),val,benign
benign (391),val,benign
normal (31),val,normal
malignant (170),val,malignant
malignant (5),val,malignant
benign (334),val,benign
benign (352),val,benign
benign (221),val,benign
benign (111),val,benign
benign (388),val,benign
benign (338),val,benign
malignant (61),val,malignant
benign (301),val,benign
benign (184),val,benign
benign (240),val,benign
malignant (90),val,malignant
normal (75),val,normal
malignant (143),val,malignant
benign (331),val,benign
normal (105),val,normal
benign (134),val,benign
malignant (39),val,malignant
benign (72),val,benign
benign (73),val,benign
malignant (182),val,malignant
benign (246),val,benign
malignant (19),val,malignant
normal (98),val,normal
malignant (190),val,malignant
normal (3),val,normal
malignant (50),val,malignant
benign (147),val,benign
malignant (22),val,malignant
benign (248),val,benign
malignant (41),val,malignant
benign (376),val,benign
malignant (151),val,malignant
benign (82),val,benign
benign (360),val,benign
malignant (193),val,malignant
normal (20),val,normal
benign (336),val,benign
benign (384),val,benign
benign (131),val,benign
normal (44),val,normal
benign (142),val,benign
normal (68),val,normal
benign (316),val,benign
benign (432),val,benign
benign (349),val,benign
benign (107),val,benign
malignant (195),val,malignant
normal (70),val,normal
benign (76),val,benign
normal (131),val,normal
benign (36),val,benign
benign (19),val,benign
benign (190),val,benign
benign (59),val,benign
benign (358),val,benign
benign (115),val,benign
benign (232),val,benign
normal (19),val,normal
malignant (78),val,malignant
benign (327),val,benign
malignant (101),val,malignant
malignant (74),val,malignant
normal (112),val,normal
normal (129),val,normal
normal (130),val,normal
benign (423),val,benign
malignant (160),val,malignant
benign (71),val,benign
benign (164),val,benign
malignant (52),val,malignant
normal (92),val,normal
malignant (108),val,malignant
benign (335),test,benign
malignant (169),test,malignant
malignant (166),test,malignant
benign (396),test,benign
benign (182),test,benign
normal (84),test,normal
normal (41),test,normal
benign (378),test,benign
benign (21),test,benign
malignant (23),test,malignant
benign (90),test,benign
benign (303),test,benign
malignant (196),test,malignant
malignant (121),test,malignant
benign (56),test,benign
malignant (129),test,malignant
normal (22),test,normal
malignant (115),test,malignant
malignant (42),test,malignant
benign (308),test,benign
benign (234),test,benign
benign (413),test,benign
benign (262),test,benign
benign (425),test,benign
benign (226),test,benign
benign (356),test,benign
benign (429),test,benign
benign (30),test,benign
benign (5),test,benign
malignant (126),test,malignant
malignant (201),test,malignant
malignant (68),test,malignant
benign (435),test,benign
benign (48),test,benign
normal (72),test,normal
benign (277),test,benign
malignant (189),test,malignant
benign (412),test,benign
benign (149),test,benign
normal (17),test,normal
benign (281),test,benign
benign (359),test,benign
benign (89),test,benign
benign (124),test,benign
benign (368),test,benign
benign (284),test,benign
benign (101),test,benign
normal (66),test,normal
benign (275),test,benign
normal (87),test,normal
malignant (204),test,malignant
malignant (56),test,malignant
benign (196),test,benign
benign (179),test,benign
normal (24),test,normal
benign (266),test,benign
malignant (154),test,malignant
normal (33),test,normal
normal (104),test,normal
benign (170),test,benign
normal (97),test,normal
benign (116),test,benign
benign (296),test,benign
benign (45),test,benign
benign (181),test,benign
malignant (202),test,malignant
malignant (53),test,malignant
malignant (128),test,malignant
malignant (127),test,malignant
normal (99),test,normal
benign (300),test,benign
benign (194),test,benign
normal (88),test,normal
benign (341),test,benign
malignant (203),test,malignant
benign (415),test,benign
benign (49),test,benign
malignant (31),test,malignant
