filename,set,label
benign (118),train,benign
benign (351),train,benign
benign (167),train,benign
benign (63),train,benign
malignant (5),train,malignant
benign (9),train,benign
malignant (72),train,malignant
benign (223),train,benign
benign (291),train,benign
benign (323),train,benign
benign (335),train,benign
benign (262),train,benign
malignant (134),train,malignant
benign (171),train,benign
benign (303),train,benign
malignant (177),train,malignant
malignant (24),train,malignant
benign (283),train,benign
normal (35),train,normal
malignant (167),train,malignant
benign (399),train,benign
normal (28),train,normal
benign (270),train,benign
benign (427),train,benign
benign (90),train,benign
malignant (28),train,malignant
benign (372),train,benign
normal (79),train,normal
benign (393),train,benign
normal (49),train,normal
benign (87),train,benign
benign (156),train,benign
benign (202),train,benign
benign (408),train,benign
benign (326),train,benign
benign (429),train,benign
malignant (34),train,malignant
benign (419),train,benign
normal (42),train,normal
benign (297),train,benign
malignant (59),train,malignant
normal (133),train,normal
malignant (74),train,malignant
benign (395),train,benign
benign (432),train,benign
benign (273),train,benign
benign (189),train,benign
normal (29),train,normal
benign (115),train,benign
benign (353),train,benign
malignant (102),train,malignant
malignant (185),train,malignant
benign (378),train,benign
malignant (188),train,malignant
benign (349),train,benign
benign (306),train,benign
benign (195),train,benign
normal (33),train,normal
benign (418),train,benign
benign (132),train,benign
normal (2),train,normal
normal (27),train,normal
normal (24),train,normal
normal (95),train,normal
benign (129),train,benign
malignant (181),train,malignant
malignant (75),train,malignant
benign (31),train,benign
malignant (16),train,malignant
normal (101),train,normal
benign (176),train,benign
malignant (197),train,malignant
benign (381),train,benign
benign (20),train,benign
normal (111),train,normal
normal (69),train,normal
benign (407),train,benign
normal (16),train,normal
benign (354),train,benign
benign (350),train,benign
normal (61),train,normal
benign (33),train,benign
malignant (51),train,malignant
malignant (17),train,malignant
benign (266),train,benign
malignant (55),train,malignant
malignant (82),train,malignant
normal (12),train,normal
benign (149),train,benign
benign (232),train,benign
malignant (195),train,malignant
normal (20),train,normal
normal (76),train,normal
malignant (169),train,malignant
malignant (42),train,malignant
malignant (20),train,malignant
benign (387),train,benign
malignant (27),train,malignant
normal (106),train,normal
malignant (163),train,malignant
malignant (47),train,malignant
normal (119),train,normal
malignant (70),train,malignant
benign (139),train,benign
benign (382),train,benign
benign (97),train,benign
malignant (103),train,malignant
malignant (8),train,malignant
malignant (180),train,malignant
malignant (115),train,malignant
benign (224),train,benign
normal (97),train,normal
normal (3),train,normal
malignant (193),train,malignant
benign (336),train,benign
benign (166),train,benign
benign (3),train,benign
benign (286),train,benign
malignant (9),train,malignant
benign (84),train,benign
malignant (50),train,malignant
benign (140),train,benign
normal (56),train,normal
normal (43),train,normal
benign (358),train,benign
normal (123),train,normal
benign (110),train,benign
benign (391),train,benign
benign (121),train,benign
benign (305),train,benign
malignant (191),train,malignant
benign (104),train,benign
benign (141),train,benign
benign (280),train,benign
malignant (64),train,malignant
malignant (146),train,malignant
benign (252),train,benign
malignant (128),train,malignant
benign (39),train,benign
malignant (21),train,malignant
normal (126),train,normal
benign (95),train,benign
benign (263),train,benign
benign (371),train,benign
benign (146),train,benign
malignant (45),train,malignant
benign (219),train,benign
malignant (69),train,malignant
benign (338),train,benign
benign (278),train,benign
benign (179),train,benign
benign (397),train,benign
normal (8),train,normal
malignant (139),train,malignant
benign (127),train,benign
normal (62),train,normal
benign (231),train,benign
benign (177),train,benign
normal (88),train,normal
benign (417),train,benign
normal (36),train,normal
benign (259),train,benign
benign (34),train,benign
benign (108),train,benign
benign (434),train,benign
benign (363),train,benign
benign (411),train,benign
benign (203),train,benign
benign (226),train,benign
normal (90),train,normal
malignant (182),train,malignant
benign (27),train,benign
normal (58),train,normal
normal (52),train,normal
malignant (110),train,malignant
normal (41),train,normal
benign (327),train,benign
benign (211),train,benign
benign (267),train,benign
malignant (30),train,malignant
benign (296),train,benign
benign (398),train,benign
benign (436),train,benign
benign (250),train,benign
benign (30),train,benign
malignant (60),train,malignant
benign (295),train,benign
malignant (155),train,malignant
benign (78),train,benign
normal (82),train,normal
malignant (109),train,malignant
benign (184),train,benign
normal (103),train,normal
benign (120),train,benign
malignant (93),train,malignant
benign (1),train,benign
benign (206),train,benign
benign (385),train,benign
benign (255),train,benign
malignant (196),train,malignant
benign (215),train,benign
benign (369),train,benign
normal (127),train,normal
benign (343),train,benign
normal (53),train,normal
benign (49),train,benign
benign (131),train,benign
benign (152),train,benign
benign (196),train,benign
malignant (107),train,malignant
benign (73),train,benign
benign (376),train,benign
normal (96),train,normal
benign (209),train,benign
benign (117),train,benign
benign (357),train,benign
benign (314),train,benign
malignant (129),train,malignant
benign (25),train,benign
benign (367),train,benign
malignant (22),train,malignant
normal (75),train,normal
benign (258),train,benign
malignant (190),train,malignant
benign (106),train,benign
malignant (53),train,malignant
benign (162),train,benign
malignant (149),train,malignant
normal (110),train,normal
benign (287),train,benign
malignant (119),train,malignant
benign (144),train,benign
normal (81),train,normal
malignant (49),train,malignant
