filename,set,label
benign (262),train,benign
benign (202),train,benign
malignant (191),train,malignant
benign (204),train,benign
benign (120),train,benign
benign (384),train,benign
malignant (34),train,malignant
benign (328),train,benign
benign (411),train,benign
malignant (197),train,malignant
benign (48),train,benign
malignant (8),train,malignant
normal (16),train,normal
benign (215),train,benign
benign (387),train,benign
normal (116),train,normal
benign (200),train,benign
benign (421),train,benign
normal (3),train,normal
benign (213),train,benign
benign (179),train,benign
malignant (147),train,malignant
benign (333),train,benign
benign (368),train,benign
malignant (102),train,malignant
benign (117),train,benign
benign (78),train,benign
benign (63),train,benign
benign (235),train,benign
malignant (134),train,malignant
malignant (2),train,malignant
benign (325),train,benign
normal (44),train,normal
benign (152),train,benign
malignant (133),train,malignant
normal (94),train,normal
normal (12),train,normal
benign (84),train,benign
benign (189),train,benign
benign (397),train,benign
benign (52),train,benign
benign (122),train,benign
benign (85),train,benign
benign (326),train,benign
benign (171),train,benign
normal (119),train,normal
malignant (100),train,malignant
benign (162),train,benign
benign (133),train,benign
benign (324),train,benign
benign (371),train,benign
malignant (37),train,malignant
malignant (90),train,malignant
normal (46),train,normal
benign (433),train,benign
malignant (163),train,malignant
normal (131),train,normal
malignant (11),train,malignant
benign (351),train,benign
benign (132),train,benign
malignant (16),train,malignant
benign (194),train,benign
benign (221),train,benign
benign (321),train,benign
benign (223),train,benign
malignant (180),train,malignant
normal (124),train,normal
benign (149),train,benign
benign (100),train,benign
benign (212),train,benign
malignant (55),train,malignant
malignant (61),train,malignant
malignant (210),train,malignant
benign (313),train,benign
normal (49),train,normal
normal (102),train,normal
malignant (89),train,malignant
benign (190),train,benign
benign (47),train,benign
malignant (67),train,malignant
benign (289),train,benign
benign (345),train,benign
benign (97),train,benign
normal (18),train,normal
malignant (170),train,malignant
benign (69),train,benign
benign (338),train,benign
benign (431),train,benign
benign (286),train,benign
benign (2),train,benign
benign (253),train,benign
normal (122),train,normal
benign (310),train,benign
benign (15),train,benign
benign (220),train,benign
benign (196),train,benign
malignant (92),train,malignant
benign (195),train,benign
benign (201),train,benign
malignant (192),train,malignant
malignant (66),train,malignant
malignant (172),train,malignant
normal (9),train,normal
benign (414),train,benign
benign (42),train,benign
normal (127),train,normal
benign (45),train,benign
malignant (146),train,malignant
malignant (131),train,malignant
malignant (196),train,malignant
benign (234),train,benign
benign (214),train,benign
benign (1),train,benign
benign (51),train,benign
benign (49),train,benign
benign (244),train,benign
benign (257),train,benign
malignant (125),train,malignant
malignant (69),train,malignant
benign (245),train,benign
normal (63),train,normal
benign (210),train,benign
normal (93),train,normal
benign (181),train,benign
normal (98),train,normal
benign (58),train,benign
benign (119),train,benign
benign (268),train,benign
benign (259),train,benign
benign (96),train,benign
benign (208),train,benign
benign (419),train,benign
benign (261),train,benign
benign (116),train,benign
normal (66),train,normal
benign (53),train,benign
benign (127),train,benign
benign (99),train,benign
benign (113),train,benign
benign (254),train,benign
benign (148),train,benign
benign (434),train,benign
malignant (14),train,malignant
benign (34),train,benign
malignant (195),train,malignant
malignant (151),train,malignant
benign (320),train,benign
benign (3),train,benign
benign (230),train,benign
benign (224),train,benign
