filename,set,label
normal (68),train,normal
normal (75),train,normal
benign (396),train,benign
normal (15),train,normal
benign (301),train,benign
benign (183),train,benign
benign (20),train,benign
normal (119),train,normal
malignant (187),train,malignant
benign (275),train,benign
malignant (127),train,malignant
malignant (186),train,malignant
benign (391),train,benign
malignant (65),train,malignant
benign (355),train,benign
normal (39),train,normal
malignant (132),train,malignant
benign (238),train,benign
normal (18),train,normal
malignant (4),train,malignant
malignant (108),train,malignant
benign (331),train,benign
malignant (164),train,malignant
malignant (66),train,malignant
malignant (44),train,malignant
benign (175),train,benign
benign (419),train,benign
normal (34),train,normal
malignant (151),train,malignant
benign (74),train,benign
normal (2),train,normal
malignant (158),train,malignant
benign (282),train,benign
benign (81),train,benign
benign (84),train,benign
malignant (25),train,malignant
benign (202),train,benign
benign (117),train,benign
benign (189),train,benign
benign (216),train,benign
benign (86),train,benign
benign (72),train,benign
malignant (102),train,malignant
malignant (168),train,malignant
benign (410),train,benign
malignant (196),train,malignant
benign (204),train,benign
benign (241),train,benign
benign (377),train,benign
benign (107),train,benign
malignant (205),train,malignant
benign (15),train,benign
normal (59),train,normal
benign (225),train,benign
benign (250),train,benign
benign (134),train,benign
benign (262),train,benign
normal (91),train,normal
normal (121),train,normal
normal (32),train,normal
benign (430),train,benign
normal (31),train,normal
normal (88),train,normal
benign (118),train,benign
malignant (100),train,malignant
benign (35),train,benign
malignant (10),train,malignant
benign (123),train,benign
benign (32),train,benign
normal (93),train,normal
malignant (83),train,malignant
malignant (141),train,malignant
benign (284),train,benign
benign (33),train,benign
benign (89),train,benign
malignant (2),train,malignant
normal (27),train,normal
normal (133),train,normal
benign (397),train,benign
benign (369),train,benign
malignant (107),train,malignant
malignant (41),train,malignant
benign (100),train,benign
malignant (160),train,malignant
benign (323),train,benign
benign (171),train,benign
benign (428),train,benign
malignant (56),train,malignant
benign (209),train,benign
benign (75),train,benign
normal (86),train,normal
benign (349),train,benign
benign (387),train,benign
benign (398),train,benign
malignant (96),train,malignant
normal (42),train,normal
benign (57),train,benign
malignant (22),train,malignant
benign (201),train,benign
normal (107),train,normal
benign (83),train,benign
benign (354),train,benign
benign (52),train,benign
malignant (126),train,malignant
benign (221),train,benign
benign (101),train,benign
malignant (190),train,malignant
benign (97),train,benign
normal (11),train,normal
normal (5),train,normal
benign (6),train,benign
malignant (36),train,malignant
benign (12),train,benign
malignant (89),train,malignant
normal (36),train,normal
benign (67),train,benign
benign (421),train,benign
benign (198),train,benign
benign (234),train,benign
benign (119),train,benign
malignant (163),train,malignant
benign (14),train,benign
malignant (152),train,malignant
malignant (52),train,malignant
benign (139),train,benign
benign (381),train,benign
normal (22),train,normal
benign (114),train,benign
benign (414),train,benign
benign (182),train,benign
benign (422),train,benign
malignant (69),train,malignant
normal (73),train,normal
benign (328),train,benign
benign (138),train,benign
benign (158),train,benign
malignant (182),train,malignant
normal (53),train,normal
benign (28),train,benign
benign (335),train,benign
benign (187),train,benign
normal (41),train,normal
malignant (88),train,malignant
benign (352),train,benign
benign (162),train,benign
benign (200),train,benign
malignant (74),train,malignant
malignant (16),train,malignant
malignant (139),train,malignant
benign (93),train,benign
benign (245),train,benign
malignant (14),train,malignant
malignant (80),train,malignant
malignant (124),train,malignant
malignant (198),train,malignant
benign (59),train,benign
benign (295),train,benign
malignant (133),train,malignant
benign (394),train,benign
normal (51),train,normal
benign (25),train,benign
malignant (78),train,malignant
benign (334),train,benign
malignant (172),train,malignant
normal (48),train,normal
normal (24),train,normal
normal (47),train,normal
benign (324),train,benign
benign (147),train,benign
malignant (140),train,malignant
normal (92),train,normal
benign (44),train,benign
malignant (155),train,malignant
benign (45),train,benign
benign (103),train,benign
normal (8),train,normal
normal (56),train,normal
benign (285),train,benign
malignant (120),train,malignant
benign (347),train,benign
benign (437),train,benign
benign (126),train,benign
normal (76),train,normal
benign (286),train,benign
benign (16),train,benign
benign (329),train,benign
benign (363),train,benign
benign (383),train,benign
benign (322),train,benign
benign (77),train,benign
malignant (144),train,malignant
benign (388),train,benign
malignant (165),train,malignant
normal (115),train,normal
benign (69),train,benign
benign (137),train,benign
malignant (5),train,malignant
malignant (111),train,malignant
normal (46),train,normal
malignant (87),train,malignant
benign (231),train,benign
benign (130),train,benign
benign (318),train,benign
malignant (17),train,malignant
benign (311),train,benign
benign (68),train,benign
benign (208),train,benign
benign (215),train,benign
benign (379),train,benign
benign (344),train,benign
benign (164),train,benign
malignant (174),train,malignant
benign (170),train,benign
benign (156),train,benign
benign (297),train,benign
benign (121),train,benign
benign (433),train,benign
benign (3),train,benign
benign (78),train,benign
malignant (82),train,malignant
malignant (79),train,malignant
normal (82),train,normal
benign (210),train,benign
normal (87),train,normal
benign (194),train,benign
normal (131),train,normal
malignant (200),train,malignant
normal (13),train,normal
normal (103),train,normal
benign (222),train,benign
malignant (156),train,malignant
benign (345),train,benign
malignant (178),train,malignant
benign (233),train,benign
benign (1),train,benign
benign (412),train,benign
normal (120),train,normal
benign (19),train,benign
malignant (75),train,malignant
malignant (47),train,malignant
normal (126),train,normal
normal (55),train,normal
normal (45),train,normal
benign (382),train,benign
normal (60),train,normal
benign (353),train,benign
normal (57),train,normal
malignant (162),train,malignant
malignant (154),train,malignant
benign (102),train,benign
benign (193),train,benign
benign (60),train,benign
malignant (184),train,malignant
malignant (103),train,malignant
benign (195),train,benign
benign (27),train,benign
normal (49),train,normal
benign (407),train,benign
normal (71),train,normal
malignant (58),train,malignant
malignant (201),train,malignant
malignant (113),train,malignant
normal (21),train,normal
benign (341),train,benign
malignant (84),train,malignant
malignant (93),train,malignant
benign (406),train,benign
malignant (121),train,malignant
normal (16),train,normal
benign (185),train,benign
benign (403),train,benign
benign (10),train,benign
benign (365),train,benign
benign (411),train,benign
benign (214),train,benign
malignant (138),train,malignant
benign (313),train,benign
normal (125),train,normal
normal (123),train,normal
normal (130),train,normal
benign (9),train,benign
benign (71),train,benign
malignant (195),train,malignant
normal (99),train,normal
benign (149),train,benign
malignant (191),train,malignant
benign (173),train,benign
benign (7),train,benign
malignant (81),train,malignant
benign (230),train,benign
benign (110),train,benign
malignant (63),train,malignant
benign (51),train,benign
malignant (45),train,malignant
malignant (8),train,malignant
benign (56),train,benign
benign (46),train,benign
benign (48),train,benign
normal (70),train,normal
malignant (59),train,malignant
benign (154),train,benign
malignant (131),train,malignant
benign (144),train,benign
benign (350),train,benign
benign (288),train,benign
benign (368),train,benign
benign (212),train,benign
benign (85),train,benign
normal (97),train,normal
benign (267),train,benign
benign (197),train,benign
normal (50),train,normal
benign (220),train,benign
benign (415),train,benign
benign (29),train,benign
benign (104),train,benign
benign (287),train,benign
benign (124),train,benign
malignant (116),train,malignant
normal (65),train,normal
malignant (99),train,malignant
benign (223),train,benign
benign (332),train,benign
benign (376),train,benign
malignant (90),train,malignant
benign (351),train,benign
benign (92),train,benign
benign (166),train,benign
benign (64),train,benign
benign (269),train,benign
benign (265),train,benign
benign (431),train,benign
benign (395),train,benign
malignant (185),train,malignant
malignant (106),train,malignant
normal (79),train,normal
normal (124),train,normal
benign (321),train,benign
benign (142),train,benign
benign (255),train,benign
malignant (130),train,malignant
benign (43),train,benign
malignant (34),train,malignant
malignant (209),train,malignant
malignant (123),train,malignant
benign (217),train,benign
malignant (57),train,malignant
malignant (192),train,malignant
malignant (97),train,malignant
benign (62),train,benign
normal (3),train,normal
benign (343),train,benign
benign (133),train,benign
normal (105),train,normal
benign (199),train,benign
benign (105),train,benign
normal (102),train,normal
normal (43),train,normal
benign (378),train,benign
benign (42),train,benign
benign (246),train,benign
malignant (30),train,malignant
benign (312),train,benign
malignant (23),train,malignant
benign (362),train,benign
benign (294),train,benign
benign (357),train,benign
benign (125),train,benign
benign (337),train,benign
benign (219),train,benign
benign (342),train,benign
benign (264),train,benign
normal (29),train,normal
malignant (70),train,malignant
benign (184),train,benign
benign (315),train,benign
normal (77),train,normal
benign (180),train,benign
benign (333),train,benign
benign (148),train,benign
malignant (92),train,malignant
benign (159),train,benign
normal (78),train,normal
malignant (145),train,malignant
malignant (207),train,malignant
malignant (135),train,malignant
benign (425),train,benign
malignant (175),train,malignant
benign (30),train,benign
benign (306),train,benign
benign (41),train,benign
benign (372),train,benign
normal (38),train,normal
normal (116),train,normal
benign (302),train,benign
benign (176),train,benign
benign (111),train,benign
benign (55),train,benign
normal (111),train,normal
malignant (183),train,malignant
benign (240),train,benign
normal (127),train,normal
malignant (177),train,malignant
normal (96),train,normal
benign (310),train,benign
benign (274),train,benign
malignant (188),train,malignant
normal (63),train,normal
malignant (53),train,malignant
benign (370),train,benign
malignant (28),train,malignant
benign (273),train,benign
normal (117),train,normal
benign (258),train,benign
benign (434),train,benign
benign (248),train,benign
benign (400),train,benign
malignant (105),train,malignant
malignant (73),train,malignant
normal (30),train,normal
normal (114),train,normal
benign (244),train,benign
normal (106),train,normal
benign (88),train,benign
benign (172),train,benign
benign (266),train,benign
benign (292),train,benign
benign (131),train,benign
benign (80),train,benign
benign (128),train,benign
benign (356),train,benign
benign (427),train,benign
benign (366),train,benign
normal (33),train,normal
normal (98),train,normal
benign (253),train,benign
malignant (6),train,malignant
normal (90),train,normal
malignant (202),train,malignant
benign (239),train,benign
malignant (94),train,malignant
malignant (194),train,malignant
benign (280),train,benign
malignant (146),train,malignant
benign (58),train,benign
benign (386),train,benign
benign (161),train,benign
benign (399),train,benign
benign (390),train,benign
malignant (204),train,malignant
normal (112),train,normal
benign (38),train,benign
benign (305),train,benign
malignant (20),train,malignant
benign (300),train,benign
benign (11),train,benign
malignant (51),train,malignant
benign (235),train,benign
benign (53),train,benign
benign (36),train,benign
benign (236),train,benign
malignant (43),train,malignant
benign (153),train,benign
benign (115),train,benign
benign (360),train,benign
benign (8),train,benign
benign (364),train,benign
normal (110),train,normal
benign (34),train,benign
normal (58),train,normal
benign (229),train,benign
benign (157),train,benign
malignant (21),train,malignant
malignant (181),train,malignant
benign (155),train,benign
benign (49),train,benign
benign (190),train,benign
malignant (48),train,malignant
benign (112),train,benign
benign (299),train,benign
malignant (49),train,malignant
malignant (153),train,malignant
benign (276),train,benign
benign (281),train,benign
benign (380),train,benign
normal (61),train,normal
benign (330),train,benign
malignant (19),train,malignant
benign (254),train,benign
benign (257),train,benign
malignant (118),train,malignant
benign (371),train,benign
benign (167),train,benign
benign (432),train,benign
benign (24),train,benign
benign (106),train,benign
benign (203),train,benign
malignant (206),train,malignant
benign (279),train,benign
benign (367),train,benign
benign (18),train,benign
benign (346),train,benign
benign (26),train,benign
normal (28),train,normal
benign (17),train,benign
benign (402),train,benign
malignant (76),train,malignant
benign (320),train,benign
malignant (11),train,malignant
malignant (71),train,malignant
benign (70),train,benign
benign (426),train,benign
malignant (12),train,malignant
benign (135),train,benign
malignant (136),train,malignant
benign (5),train,benign
malignant (62),train,malignant
normal (37),train,normal
benign (188),train,benign
malignant (35),train,malignant
malignant (119),train,malignant
benign (23),train,benign
benign (261),train,benign
normal (113),train,normal
benign (298),train,benign
malignant (67),train,malignant
malignant (39),train,malignant
normal (64),train,normal
benign (129),train,benign
benign (4),train,benign
malignant (173),train,malignant
benign (374),train,benign
normal (95),train,normal
benign (79),train,benign
malignant (13),train,malignant
normal (44),train,normal
malignant (189),train,malignant
benign (317),train,benign
benign (82),train,benign
malignant (68),train,malignant
benign (420),train,benign
benign (151),train,benign
benign (165),train,benign
malignant (42),train,malignant
malignant (55),train,malignant
malignant (98),train,malignant
normal (14),train,normal
malignant (171),train,malignant
benign (291),train,benign
benign (340),train,benign
normal (81),train,normal
malignant (46),train,malignant
benign (373),train,benign
normal (69),train,normal
malignant (64),train,malignant
malignant (85),train,malignant
normal (85),train,normal
malignant (72),train,malignant
malignant (199),train,malignant
benign (326),train,benign
benign (260),train,benign
normal (72),val,normal
malignant (38),val,malignant
normal (20),val,normal
benign (76),val,benign
benign (96),val,benign
benign (327),val,benign
benign (174),val,benign
malignant (137),val,malignant
benign (226),val,benign
normal (7),val,normal
benign (120),val,benign
normal (108),val,normal
benign (136),val,benign
normal (12),val,normal
normal (52),val,normal
malignant (1),val,malignant
malignant (122),val,malignant
benign (99),val,benign
benign (417),val,benign
benign (243),val,benign
malignant (61),val,malignant
benign (113),val,benign
benign (277),val,benign
normal (129),val,normal
benign (87),val,benign
normal (128),val,normal
normal (89),val,normal
benign (122),val,benign
benign (63),val,benign
malignant (27),val,malignant
malignant (54),val,malignant
benign (283),val,benign
malignant (9),val,malignant
benign (389),val,benign
normal (1),val,normal
benign (91),val,benign
malignant (128),val,malignant
malignant (24),val,malignant
malignant (166),val,malignant
malignant (114),val,malignant
normal (26),val,normal
benign (338),val,benign
benign (423),val,benign
malignant (129),val,malignant
benign (140),val,benign
normal (4),val,normal
benign (181),val,benign
benign (289),val,benign
normal (84),val,normal
benign (339),val,benign
benign (404),val,benign
normal (100),val,normal
benign (108),val,benign
benign (303),val,benign
benign (2),val,benign
benign (375),val,benign
benign (116),val,benign
malignant (112),val,malignant
benign (143),val,benign
malignant (31),val,malignant
benign (251),val,benign
benign (308),val,benign
malignant (60),val,malignant
benign (436),val,benign
benign (206),val,benign
malignant (117),val,malignant
benign (249),val,benign
benign (169),val,benign
malignant (86),val,malignant
benign (61),val,benign
normal (9),val,normal
malignant (26),val,malignant
normal (109),val,normal
malignant (148),val,malignant
malignant (15),val,malignant
malignant (203),val,malignant
benign (31),val,benign
benign (270),val,benign
benign (127),val,benign
benign (21),val,benign
malignant (176),val,malignant
malignant (142),val,malignant
benign (94),val,benign
malignant (150),val,malignant
benign (359),val,benign
benign (98),val,benign
malignant (50),val,malignant
benign (150),val,benign
benign (22),val,benign
normal (66),val,normal
benign (413),val,benign
benign (325),val,benign
normal (23),val,normal
benign (348),val,benign
benign (242),val,benign
malignant (115),val,malignant
normal (122),val,normal
benign (192),val,benign
normal (104),val,normal
benign (361),val,benign
malignant (101),val,malignant
benign (152),val,benign
benign (196),val,benign
malignant (77),val,malignant
malignant (149),val,malignant
malignant (3),val,malignant
benign (401),val,benign
malignant (125),val,malignant
benign (268),val,benign
benign (65),val,benign
benign (259),val,benign
benign (405),val,benign
malignant (208),val,malignant
benign (272),val,benign
benign (73),val,benign
benign (228),val,benign
benign (293),val,benign
benign (211),val,benign
benign (37),val,benign
normal (101),val,normal
benign (232),val,benign
malignant (32),val,malignant
